,relationship,hematokrit,alp,indicator,etytr,hbver,weight,er-cv,leukocyty,hemoglobin,erytrocyty,trombocyty,smoker,alt,ssn,ast,residence,name,company,birthdate,sex,blood_group,address,race
0,married,7.98605,35.91472,1.0,4.85635,5.25399,96.25994,55.94441,7.02066,4.40427,6.68671,6.64113,N,1.91308,126-67-1124,67.79048,"2748 William Underpass
West Warren, WY 64316",Rachel Bridges,Wagner-Aguilar,01/12/1973,F,B+,"623 Willis Spurs Suite 594
Port Stephanie, AK 26654",Indian
1,divorced,4.93283,75.33679,0.0,5.59998,9.27414,29.51229,41.61444,4.59915,5.47178,5.24719,5.18076,Y,2.37623,126-67-1124,86.15844,"2748 William Underpass
West Warren, WY 64316",Rachel Bridges,Wagner-Aguilar,01/12/1973,F,B+,"623 Willis Spurs Suite 594
Port Stephanie, AK 26654",Indian
2,married,3.55419,69.49522,0.0,5.36091,6.44353,19.56509,35.15155,5.53585,7.1529,5.48525,6.57866,N,1.74182,126-67-1124,62.48992,"2748 William Underpass
West Warren, WY 64316",Rachel Bridges,Wagner-Aguilar,01/12/1973,F,B+,"623 Willis Spurs Suite 594
Port Stephanie, AK 26654",Indian
3,divorced,6.66681,85.35914,0.0,3.96933,5.43904,96.56157,34.88919,3.95987,6.60966,7.55754,7.72454,N,2.89576,126-67-1124,61.97566,"2748 William Underpass
West Warren, WY 64316",Rachel Bridges,Wagner-Aguilar,01/12/1973,F,B+,"623 Willis Spurs Suite 594
Port Stephanie, AK 26654",Indian
4,married,8.22106,58.60041,1.0,7.71875,5.43113,126.63454,41.97542,5.55075,4.91791,7.17856,5.93911,N,2.81644,358-62-3858,56.21061,"43671 Jeremy Dale
New Cynthia, RI 59099",Nicole Henderson,Dunn-Willis,07/20/1915,F,B+,"730 Kevin Coves
Williamborough, WV 59945",Black
5,nop,8.30587,63.21165,1.0,5.07032,5.13308,91.11967,34.17611,3.61019,7.452,7.16779,6.29769,Y,2.94436,358-62-3858,62.15459,"43671 Jeremy Dale
New Cynthia, RI 59099",Nicole Henderson,Dunn-Willis,07/20/1915,F,B+,"730 Kevin Coves
Williamborough, WV 59945",Black
6,separated,8.08612,84.23946,1.0,4.10177,4.46269,40.73845,42.47529,5.35428,6.49411,6.33213,6.24995,N,1.94268,358-62-3858,50.74979,"43671 Jeremy Dale
New Cynthia, RI 59099",Nicole Henderson,Dunn-Willis,07/20/1915,F,B+,"730 Kevin Coves
Williamborough, WV 59945",Black
7,separated,5.98902,63.12379,1.0,2.76431,7.18268,45.65333,58.62243,4.30041,7.35498,7.79512,4.0114,N,4.3307,736-86-2200,53.57556,"2983 Heather Path Apt. 438
Ericfort, ND 67876",Jennifer Sampson,"Hall, Williams and Alvarez",08/04/1967,F,AB-,"107 Nichols Alley Suite 848
East Christopherland, MT 21006",White
8,separated,7.22509,52.93483,1.0,5.28601,6.11148,85.62455,49.63026,5.19918,4.87056,7.51335,6.6933,N,3.26713,736-86-2200,63.95501,"2983 Heather Path Apt. 438
Ericfort, ND 67876",Jennifer Sampson,"Hall, Williams and Alvarez",08/04/1967,F,AB-,"107 Nichols Alley Suite 848
East Christopherland, MT 21006",White
9,married,4.584,76.16391,0.0,7.65404,5.5209,79.19522,50.88455,5.56839,5.73131,6.76002,6.17765,Y,2.61405,736-86-2200,59.95463,"2983 Heather Path Apt. 438
Ericfort, ND 67876",Jennifer Sampson,"Hall, Williams and Alvarez",08/04/1967,F,AB-,"107 Nichols Alley Suite 848
East Christopherland, MT 21006",White
10,nop,4.5055,81.45786,0.0,4.83085,7.2212,38.77197,41.75852,5.25316,6.97574,6.50932,7.17208,N,3.09006,638-79-6051,67.68197,"497 Joshua Mission Apt. 538
South Robinberg, MN 30944",Kevin Porter,"Morgan, Mercado and Smith",04/02/1922,M,AB-,"389 Duarte Drive
Karaton, ND 07684",White
11,single,5.80175,32.95916,1.0,3.51374,6.20331,68.31847,29.15903,5.13034,8.02669,7.71992,6.5995,N,2.68275,638-79-6051,63.87316,"497 Joshua Mission Apt. 538
South Robinberg, MN 30944",Kevin Porter,"Morgan, Mercado and Smith",04/02/1922,M,AB-,"389 Duarte Drive
Karaton, ND 07684",White
12,married,3.57345,85.33156,0.0,5.65494,6.45883,74.34465,57.46218,4.56364,6.31044,8.0837,4.03567,Y,5.41647,638-79-6051,44.19681,"497 Joshua Mission Apt. 538
South Robinberg, MN 30944",Kevin Porter,"Morgan, Mercado and Smith",04/02/1922,M,AB-,"389 Duarte Drive
Karaton, ND 07684",White
13,married,5.51852,77.18342,1.0,6.76048,6.07483,44.38614,45.24699,8.61082,6.98992,8.66508,5.62181,N,8.64204,036-92-2352,68.59512,"USNV Ramirez
FPO AA 39471",Emma Barrett,Miller-Johnston,01/21/1908,F,A+,"957 Andrea Dam
Gonzalezborough, RI 97897",White
14,married,6.06994,44.41458,0.0,3.77611,5.78256,76.36767,50.82835,4.74076,4.58295,6.0669,5.32281,N,2.14912,036-92-2352,62.34945,"USNV Ramirez
FPO AA 39471",Emma Barrett,Miller-Johnston,01/21/1908,F,A+,"957 Andrea Dam
Gonzalezborough, RI 97897",White
15,divorced,8.84672,13.51812,1.0,3.26915,4.94395,63.74566,42.21258,6.48633,3.70998,5.39826,5.22673,N,2.27252,036-92-2352,61.27165,"USNV Ramirez
FPO AA 39471",Emma Barrett,Miller-Johnston,01/21/1908,F,A+,"957 Andrea Dam
Gonzalezborough, RI 97897",White
16,divorced,4.11148,79.33051,1.0,4.51977,5.49754,42.1024,45.61528,8.72955,5.72944,8.90128,6.48341,N,9.46774,571-50-0354,68.87727,"336 Hutchinson Road Suite 537
Millerhaven, MN 69756",Kevin Barnes,Hughes-Pittman,08/22/1950,M,AB-,"71350 Smith Cape Suite 122
West Jasonville, MD 15774",White
17,widowed,7.49994,59.0612,1.0,5.31833,5.91054,28.10537,45.98755,4.9578,5.1021,7.61485,5.11285,N,3.49451,571-50-0354,66.1154,"336 Hutchinson Road Suite 537
Millerhaven, MN 69756",Kevin Barnes,Hughes-Pittman,08/22/1950,M,AB-,"71350 Smith Cape Suite 122
West Jasonville, MD 15774",White
18,single,6.30898,79.68871,1.0,3.90978,4.13323,108.29708,42.99771,5.23715,7.17136,7.04139,4.22769,N,2.74397,278-38-3761,80.32779,"6593 Mccall Park Apt. 928
Lake Amandafort, WI 67535",Mr. Matthew Jenkins,"Ramos, Smith and Mcdaniel",07/25/1953,M,AB+,"5692 Melissa Summit Apt. 132
East Robert, NJ 13775",Hawaiian
